generation,scenario,id,normPref,aprioriAck,legalAck,careAck,epistemicAck,attempts,successes,conflict,debt,momentum,trustCount,trustMax,fulfilled,denied,expired,repaired,role,temperament,moralStance,scenarioGroup,memoryLength,affiliation,enableMoralRepair,enableDirectedEmergence,enableNonReciprocalTargeting,batchRun
1,utopian,8867,care,true,true,true,true,0,0,0,0,0.804,0,0,0,0,0,0,mediator,0.3243033034314551,proactive,utopian,0.7900383508592494,pref_care,true,true,true,1
1,utopian,8868,apriori,true,true,true,true,99,86,0,0,0.518,1,74,1,0,0,0,disruptor,0.5607195035578171,reactive,utopian,0.5977676208988951,pref_apriori,true,true,true,1
1,utopian,8869,apriori,true,true,true,true,0,0,0,0,0.503,0,0,0,0,0,0,disruptor,0.4748767402468853,reactive,utopian,0.5866331071566759,pref_apriori,true,true,true,1
1,utopian,8870,epistemic,true,true,true,true,0,0,0,0,0.932,0,0,0,0,0,0,disruptor,0.1737050088086416,reactive,utopian,0.7009918110923186,pref_epistemic,true,true,true,1
1,utopian,8871,apriori,true,true,true,true,99,62,0,0,0.463,1,26,1,0,0,0,disruptor,0.4969288284322191,reactive,utopian,0.6202662578170925,pref_apriori,true,true,true,1
1,utopian,8872,apriori,true,true,true,true,0,0,0,0,0.314,0,0,0,0,0,0,responder,0.012386012391390144,reactive,utopian,0.44449497761687345,pref_apriori,true,true,true,1
1,utopian,8873,care,true,true,true,true,0,0,0,0,0.364,0,0,0,0,0,0,mediator,0.4530904157389759,proactive,utopian,0.5917880017751522,pref_care,true,true,true,1
1,utopian,8874,legal,true,true,true,true,99,94,0,0,0.598,1,90,1,0,0,0,responder,0.7982418444414188,reactive,utopian,0.701936323936051,pref_legal,true,true,true,1
1,utopian,8875,legal,true,true,true,true,0,0,0,0,0.633,0,0,0,0,0,0,responder,0.7891325780105004,proactive,utopian,0.696856595295746,pref_legal,true,true,true,1
1,utopian,8876,legal,true,true,true,true,0,0,0,0,0.642,0,0,0,0,0,0,initiator,0.3332294398630453,proactive,utopian,0.6923888578785423,pref_legal,true,true,true,1
1,utopian,8877,epistemic,true,true,true,true,0,0,0,0,0.403,0,0,0,0,0,0,initiator,0.31960921138136356,reactive,utopian,0.4807905296625752,pref_epistemic,true,true,true,1
1,utopian,8878,apriori,true,true,true,true,0,0,0,0,0.442,0,0,0,0,0,0,initiator,0.7633653596053463,proactive,utopian,0.6830216522723442,pref_apriori,true,true,true,1
1,utopian,8879,apriori,true,true,true,true,0,0,0,0,0.567,0,0,0,0,0,0,disruptor,0.8550492914076556,reactive,utopian,0.4866490695408461,pref_apriori,true,true,true,1
1,utopian,8880,epistemic,true,true,true,true,0,0,0,0,0.569,0,0,0,0,0,0,disruptor,0.5263718426997483,proactive,utopian,0.7667412476384554,pref_epistemic,true,true,true,1
1,utopian,8881,legal,true,true,true,true,297,160,0,0,0.810,1,26,1,0,0,0,disruptor,0.9635151231334877,reactive,utopian,0.42101153446173717,pref_legal,true,true,true,1
1,utopian,8882,epistemic,true,true,true,true,297,201,1,1,0.358,1,107,0,1,0,0,mediator,0.416523203646069,proactive,utopian,0.7882068216275704,pref_epistemic,true,true,true,1
1,utopian,8883,care,true,true,true,true,198,136,1,1,0.744,2,73,1,1,0,0,initiator,0.04157420302437875,proactive,utopian,0.6576249275127097,pref_care,true,true,true,1
1,utopian,8884,apriori,true,true,true,true,0,0,0,0,0.402,0,0,0,0,0,0,initiator,0.6288940466031789,proactive,utopian,0.5602255929450408,pref_apriori,true,true,true,1
1,utopian,8885,care,true,true,true,true,198,172,0,0,0.460,2,96,2,0,0,0,initiator,0.875856627379076,reactive,utopian,0.4264138137091162,pref_care,true,true,true,1
1,utopian,8886,epistemic,true,true,true,true,99,31,1,1,0.490,1,0,0,1,0,0,disruptor,0.9264985816725219,proactive,utopian,0.4886667875252399,pref_epistemic,true,true,true,1
1,utopian,8887,legal,true,true,true,true,99,34,1,1,0.676,1,0,0,1,0,0,disruptor,0.1100569350405135,reactive,utopian,0.5110888211524746,pref_legal,true,true,true,1
